Pclass,Sex,Age,Fare
3,1,36.0,7.25
3,1,21.0,8.05
3,1,25.0,7.7958
2,1,27.0,15.0333
1,0,55.0,27.7208
1,0,55.0,135.6333
3,1,26.0,7.775
2,0,36.0,39.0
1,1,39.0,26.55
2,0,12.0,39.0
3,0,35.0,7.75
3,0,0.75,7.75
3,1,32.5,9.5
3,0,38.0,7.2292
3,0,22.0,12.2875
3,1,32.5,7.75
1,0,54.0,81.8583
1,0,43.0,55.4417
3,1,23.0,7.7958
3,1,59.0,7.8792
2,0,60.0,26.0
3,1,27.0,7.225
3,0,20.0,7.8542
3,1,30.0,7.2292
1,1,42.0,42.5
2,1,32.0,13.5
3,1,45.0,7.75
3,0,33.0,20.575
3,1,30.0,7.55
3,0,23.0,15.5
2,1,20.0,13.8625
3,1,22.5,7.225
2,1,21.0,11.5
2,1,14.0,65.0
3,1,36.5,17.4
3,1,24.0,7.2292
2,0,26.0,13.5
1,1,50.0,26.0
3,0,23.0,8.05
3,1,18.0,7.75
3,1,24.0,7.8542
2,1,42.0,13.0
3,0,18.0,7.2292
1,1,13.0,262.375
3,1,32.0,7.775
1,0,47.0,61.175
1,0,29.0,221.7792
3,1,39.0,13.4167
3,0,19.0,16.1
3,1,14.5,69.55
3,0,42.0,7.8792
2,1,22.0,10.5
2,0,24.0,37.0042
1,1,64.0,75.25
2,1,24.0,10.5
2,1,17.0,73.5
3,1,26.0,7.8958
3,1,26.0,7.8792
3,1,20.0,7.925
3,0,50.0,7.7208
3,0,26.0,14.5
3,1,24.0,8.6625
3,1,17.0,8.6625
3,1,0.33,14.4
3,1,7.0,15.2458
2,0,30.0,13.0
1,1,57.0,164.8667
2,1,34.0,26.0
3,0,45.0,14.1083
3,1,21.0,7.775
3,1,28.0,22.525
1,0,28.0,263.0
3,0,47.0,7.0
3,0,36.0,15.9
3,1,6.0,15.2458
1,1,25.0,25.7417
1,1,30.0,57.75
3,0,1.0,12.1833
3,1,22.0,7.775
3,1,25.0,7.2292
2,0,20.0,23.0
3,0,16.0,7.65
2,1,30.0,12.7375
2,0,45.0,30.0
2,1,63.0,26.0
3,0,17.0,7.7333
3,0,18.0,7.75
3,0,26.0,15.5
1,1,48.0,50.4958
2,1,29.0,26.0
1,0,37.0,90.0
3,1,43.0,7.8958
1,1,30.0,151.55
2,1,38.0,21.0
2,1,22.0,31.5
3,1,45.0,7.8875
2,1,28.0,15.5792
3,1,27.0,8.6625
1,1,24.0,60.0
3,1,40.0,31.3875
2,1,40.0,13.0
3,1,38.5,7.25
3,1,17.0,8.05
3,0,22.0,8.9625
3,1,25.0,16.1
1,0,60.0,76.2917
3,1,58.0,14.5
3,1,20.0,7.8542
1,1,27.0,136.7792
3,1,9.0,3.1708
3,0,37.0,7.75
3,0,26.0,7.7333
2,1,28.0,10.5
1,1,34.0,26.0
2,0,24.0,65.0
1,1,53.0,81.8583
1,0,58.0,512.3292
3,1,28.0,8.05
1,1,55.0,93.5
2,1,30.0,26.0
3,1,32.0,8.05
3,1,23.0,7.8958
3,0,30.0,15.55
3,1,33.0,8.05
1,1,49.0,0.0
3,0,18.0,8.05
2,0,48.0,36.75
3,0,38.0,7.775
3,1,12.0,7.75
3,1,38.5,22.3583
1,1,55.0,59.4
3,0,17.0,69.55
3,1,21.0,7.8958
3,1,21.0,7.8208
1,1,46.0,75.2417
2,1,24.0,13.5
3,1,27.0,7.75
